Country,Detail_URL
Democratic People's Republic of Korea,https://www.fatf-gafi.org/en/countries/detail/DPRK.html
Iran,https://www.fatf-gafi.org/en/countries/detail/iran.html
Myanmar,https://www.fatf-gafi.org/en/countries/detail/Myanmar.html
